headcode,origin_location,origin_departure,gps_car_id,total_matching,median_time_error,end,start,iqr_time_error,matched_over_total
5N40,PRST,2016-03-30 00:11:00,150135,3,-3.35,2016-03-30 00:40:31,2016-03-30 00:06:00,1.91666666666667,0.5
5H66,NWMILSC,2016-03-29 23:59:00,142052,4,-0.516666666666667,2016-03-30 00:37:00,2016-03-30 00:28:00,1.5,0.4
5J88,HDRSFLD,2016-03-29 23:48:00,158795,9,-1,2016-03-30 00:51:20,2016-03-30 00:12:00,0.291666666666667,0.9
5N12,COLNE,2016-03-29 23:55:00,142091,12,-0.566666666666667,2016-03-30 01:25:44,2016-03-30 00:04:00,0.583333333333333,1
5H18,MACLSFD,2016-03-29 23:57:00,156425,2,1.1,2016-03-30 01:01:44,2016-03-30 00:10:04,3.83333333333333,0.166666666666667
2H33,SKPT,2016-03-30 10:47:00,158904,1,3.05,2016-03-30 11:30:00,2016-03-30 11:26:57,0,0.0625
2S24,MNCRPIC,2016-03-30 11:14:00,150272,1,4.58333333333333,2016-03-30 11:33:00,2016-03-30 11:28:00,0.416666666666667,0.0666666666666667
2D40,MNCRPIC,2016-03-30 11:18:00,156455,3,-2.91666666666667,2016-03-30 11:27:30,2016-03-30 11:19:00,1.83333333333333,0.3
2C22,DONC,2016-03-30 10:52:00,158844,1,-4.76666666666667,2016-03-30 11:24:46,2016-03-30 11:20:00,0,0.0769230769230769
2C21,YORK,2016-03-30 10:11:00,155346,2,-3,2016-03-30 11:12:35,2016-03-30 11:09:00,1.16666666666667,0.0952380952380952
1N86,LVRPLSH,2016-03-29 23:02:00,150117,1,2.73333333333333,2016-03-30 00:12:00,2016-03-30 00:09:16,0,0.2
5J32,MNCRPIC,2016-03-29 23:41:00,142057,4,-1.55,2016-03-30 00:14:23,2016-03-30 00:00:00,0.333333333333333,1
5T09,MNCRPIC,2016-03-30 00:07:00,142052,1,1.31666666666667,2016-03-30 00:03:00,2016-03-30 00:01:41,0,0.142857142857143
2H98,MNCRPIC,2016-03-29 23:10:00,150276,1,-1.06666666666667,2016-03-30 00:08:04,2016-03-30 00:07:00,0,1
2C97,HULL,2016-03-29 22:20:00,158861,1,-2.99166666666667,2016-03-30 00:05:44,2016-03-30 00:02:00,0.741666666666666,1
2H48,LVRPLSH,2016-03-29 23:38:00,156484,2,-3.65,2016-03-30 00:12:59,2016-03-30 00:09:00,0.666666666666667,0.222222222222222
2E69,RCHDALE,2016-03-29 22:46:00,155343,3,-1.2,2016-03-30 00:03:32,2016-03-30 00:00:00,1.5,1
5T09,MNCRPIC,2016-03-30 00:07:00,150132,1,4.53333333333333,2016-03-30 00:35:00,2016-03-30 00:30:28,0,0.111111111111111
1N86,LVRPLSH,2016-03-29 23:02:00,150210,4,-2.1,2016-03-30 00:16:36,2016-03-30 00:01:00,2,0.8
5H70,HADFILD,2016-03-29 23:32:00,156464,1,-2.83333333333333,2016-03-30 00:05:50,2016-03-30 00:03:00,0,0.333333333333333
5H28,ALDEDGE,2016-03-29 23:46:00,156464,3,1.33333333333333,2016-03-30 00:08:00,2016-03-30 00:01:00,2.41666666666667,0.6
5N93,BLCKPLN,2016-03-30 00:55:00,150149,1,0.85,2016-03-30 00:56:00,2016-03-30 00:55:09,0,0.5
5J88,HDRSFLD,2016-03-29 23:48:00,142037,1,-3.91666666666667,2016-03-30 00:54:55,2016-03-30 00:51:00,0,0.1
5H72,GLSP,2016-03-30 00:08:00,142052,1,1.31666666666667,2016-03-30 00:32:00,2016-03-30 00:30:41,0,0.1
5N46,LEEDS,2016-03-30 00:37:00,158842,1,2.48333333333333,2016-03-30 00:54:00,2016-03-30 00:51:31,0,0.5
5T09,MNCRPIC,2016-03-30 00:07:00,150271,2,3.95,2016-03-30 00:35:00,2016-03-30 00:30:33,0.5,0.222222222222222
5N93,BLCKPLN,2016-03-30 00:55:00,156454,2,-0.25,2016-03-30 00:56:35,2016-03-30 00:54:55,1.33333333333333,1
5F99,LVRPLSH,2016-03-30 00:45:00,156484,5,-0.65,2016-03-30 00:53:00,2016-03-30 00:37:29,1.08333333333333,1
5T09,MNCRPIC,2016-03-30 00:07:00,150222,1,4.46666666666667,2016-03-30 00:35:00,2016-03-30 00:30:32,0,0.111111111111111
5J42,MNCROXR,2016-03-29 23:48:00,150132,1,-2.96666666666667,2016-03-30 00:40:58,2016-03-30 00:38:00,0,0.2
5N93,BLCKPLN,2016-03-30 00:55:00,156429,2,-0.183333333333333,2016-03-30 00:56:31,2016-03-30 00:54:51,1.33333333333333,1
2E71,RCHDALE,2016-03-29 23:41:00,142062,1,4.7,2016-03-30 00:53:00,2016-03-30 00:48:18,0,0.0833333333333333
5N93,BLCKPLN,2016-03-30 00:55:00,156426,1,-3.91666666666667,2016-03-30 00:59:55,2016-03-30 00:56:00,0,0.5
5N56,BLKB,2016-03-29 23:47:00,150135,6,-0.183333333333333,2016-03-30 00:42:00,2016-03-30 00:08:00,1.08333333333333,0.857142857142857
5T09,MNCRPIC,2016-03-30 00:07:00,156464,8,-0.833333333333333,2016-03-30 00:34:40,2016-03-30 00:03:00,0.833333333333333,0.888888888888889
5N56,BLKB,2016-03-29 23:47:00,150149,7,-0.233333333333333,2016-03-30 00:42:00,2016-03-30 00:03:00,0.916666666666667,1
5T09,MNCRPIC,2016-03-30 00:07:00,150111,3,-0.183333333333333,2016-03-30 00:37:36,2016-03-30 00:05:06,6.75,0.333333333333333
5N12,COLNE,2016-03-29 23:55:00,156429,3,1.48333333333333,2016-03-30 00:39:00,2016-03-30 00:27:41,1.75,0.333333333333333
2F99,MNCROXR,2016-03-29 23:27:00,156463,16,-0.616666666666667,2016-03-30 00:37:27,2016-03-30 00:02:00,0.833333333333333,1
5N12,COLNE,2016-03-29 23:55:00,156454,3,1.5,2016-03-30 00:39:00,2016-03-30 00:27:35,1.625,0.333333333333333
2F99,MNCROXR,2016-03-29 23:27:00,156484,16,-0.816666666666667,2016-03-30 00:41:59,2016-03-30 00:02:00,0.833333333333333,1
5N40,PRST,2016-03-30 00:11:00,150117,3,-3.35,2016-03-30 00:40:26,2016-03-30 00:06:00,1.83333333333333,0.5
2N93,MNCROXR,2016-03-29 23:14:00,150210,14,-0.6,2016-03-30 00:49:26,2016-03-30 00:00:00,0.625,1
5N40,PRST,2016-03-30 00:11:00,150149,3,-3.15,2016-03-30 00:40:29,2016-03-30 00:03:09,6.33333333333333,0.5
2E71,RCHDALE,2016-03-29 23:41:00,158904,12,-0.616666666666667,2016-03-30 00:53:17,2016-03-30 00:00:00,0.666666666666667,1
2N93,MNCROXR,2016-03-29 23:14:00,156441,13,-0.55,2016-03-30 00:49:23,2016-03-30 00:02:00,0.666666666666667,0.928571428571429
5H72,GLSP,2016-03-30 00:08:00,156425,2,-0.0666666666666667,2016-03-30 01:04:00,2016-03-30 01:00:00,2.33333333333333,0.181818181818182
5H72,GLSP,2016-03-30 00:08:00,156482,2,0.05,2016-03-30 01:04:00,2016-03-30 01:00:00,2.33333333333333,0.181818181818182
